model,term,value
ols_6,intercept,121.68524590
ols_6,Pregnancies,-0.63132129
ols_6,BloodPressure,2.07841075
ols_6,SkinThickness,1.74869572
ols_6,BMI,4.55520728
ols_6,DiabetesPedigreeFunction,3.35029782
ols_6,Age,6.12480500
ols_spearman_selected,intercept,121.68524590
ols_spearman_selected,BMI,6.54620365
ols_spearman_selected,Age,6.74129406
ols_pca2_on_selected,intercept,121.68524590
ols_pca2_on_selected,PC1,9.39567974
ols_pca2_on_selected,PC2,0.13794975

pca_loadings_on_selected_row_is_component
component,BMI,Age
PC1,0.70710678,0.70710678
PC2,-0.70710678,0.70710678
